pid	description	soil_id	position	theta_r	theta_pwp	fk	fk63	nfk	theta_s	thickness	ks	suction	pore_size_i	bubb_pres	coarse_frag
1	NA	6	1	0.09781	0.1673	0.4626	0.4767	0.3648	0.5322	50	158	481.6	0.2837	20.77	0.1537
2	NA	6	2	0.09604	0.165	0.3895	0.454	0.2935	0.4969	100	62.05	533.8	0.2852	23.48	0.1843
3	NA	6	3	0.1001	0.175	0.3777	0.4515	0.2776	0.4855	150	59.37	572.9	0.2691	27.8	0.1775
4	NA	6	4	0.1031	0.1821	0.3472	0.4382	0.2441	0.4736	300	60.78	632.2	0.2559	29.07	0.2145
5	NA	6	5	0.1021	0.1861	0.3222	0.4156	0.2201	0.4436	53.47	60.39	776.6	0.2386	36.85	0.2411
6	NA	16	1	0.09964	0.1699	0.4504	0.4728	0.3508	0.5259	50	160.3	489.8	0.2809	21.51	0.1568
7	NA	16	2	0.09733	0.1669	0.3857	0.4505	0.2883	0.491	100	61.68	545.6	0.2827	24.39	0.1882
8	NA	16	3	0.1014	0.1773	0.3742	0.4487	0.2728	0.4802	150	58.58	585.7	0.2655	28.85	0.1803
9	NA	16	4	0.1046	0.1848	0.3483	0.4377	0.2437	0.4723	297.9	60.57	640	0.2509	29.34	0.2106
10	NA	18	1	0.0979	0.17	0.4407	0.4725	0.3428	0.5154	50	161.4	504.6	0.281	25.92	0.1384
11	NA	18	2	0.09543	0.1675	0.3762	0.4508	0.2808	0.4823	100	60.74	566.3	0.2816	30	0.1756
12	NA	18	3	0.0997	0.179	0.3632	0.4493	0.2635	0.4717	150	58.09	613.3	0.2628	35.35	0.1517
13	NA	18	4	0.1019	0.1863	0.3473	0.4418	0.2454	0.4609	300	58.09	666.7	0.2492	38.37	0.1624
14	NA	18	5	0.1004	0.1924	0.3283	0.4271	0.2279	0.4368	243.3	55.89	805.4	0.2313	49.1	0.1801
15	NA	1006	1	0.09903	0.17	0.4581	0.4775	0.3591	0.5269	50	155.4	484.2	0.2803	22.76	0.1467
16	NA	1006	2	0.09715	0.1681	0.3886	0.4545	0.2915	0.491	100	60	545.3	0.2803	26.37	0.1791
17	NA	1006	3	0.1011	0.1786	0.3769	0.4527	0.2757	0.4806	150	57.32	587.7	0.2631	31.01	0.1688
18	NA	1006	4	0.1033	0.1842	0.3479	0.4399	0.2445	0.4701	300	59.58	642.9	0.2519	31.92	0.1983
19	NA	1006	5	0.1022	0.1891	0.3248	0.419	0.2226	0.4412	400	58.53	790.9	0.2333	40.59	0.2239
20	NA	1006	6	0.1026	0.1946	0.3237	0.4194	0.2211	0.4377	1000	57.03	826	0.2242	43.9	0.2464
21	NA	1016	1	0.1006	0.1728	0.4529	0.4767	0.3523	0.5239	50	156.2	485.2	0.2781	23.27	0.15
22	NA	1016	2	0.09811	0.1698	0.3836	0.4527	0.2855	0.4879	100	60.09	549.2	0.279	26.78	0.1825
23	NA	1016	3	0.1027	0.1823	0.3757	0.4527	0.273	0.4776	150	55.88	597.4	0.2579	32.26	0.1712
24	NA	1016	4	0.1044	0.1884	0.3495	0.4427	0.2451	0.4694	300	57.44	648.4	0.2466	33.67	0.1938
25	NA	1016	5	0.1026	0.1925	0.3266	0.4217	0.224	0.4408	400	56.47	800.7	0.2288	42.88	0.2222
26	NA	1016	6	0.1029	0.1987	0.3272	0.4227	0.2243	0.437	1000	54.66	842.8	0.2181	46.99	0.2418
27	NA	1018	1	0.09822	0.1715	0.4364	0.4722	0.3382	0.5095	50	159.9	514	0.2784	28.23	0.1299
28	NA	1018	2	0.09565	0.1692	0.3749	0.4505	0.2793	0.4765	100	59.88	583.1	0.2778	33.21	0.1661
29	NA	1018	3	0.1001	0.1818	0.363	0.4505	0.2629	0.4672	150	56.54	632.5	0.2573	38.99	0.142
30	NA	1018	4	0.1015	0.1873	0.3482	0.4428	0.2467	0.4571	300	57.5	682.6	0.2465	41.69	0.1516
31	NA	1018	5	0.09985	0.1938	0.3297	0.4289	0.2299	0.4332	400	54.97	828	0.2277	53.55	0.1698
32	NA	1018	6	0.1004	0.1993	0.3269	0.4273	0.2265	0.4304	1000	56.06	864.1	0.2193	55.42	0.1912
33	NA	0	1	0.09862	0.07406	0.4325	0.4817	0.3339	0.5201	50	102.8	464.6	0.2823	26.84	0.03573
34	NA	0	2	0.09584	0.07281	0.3798	0.4594	0.2839	0.484	100	38.17	535.6	0.2815	32.2	0.0501
35	NA	0	3	0.1003	0.07788	0.371	0.4586	0.2707	0.4716	150	37.36	599.2	0.2595	39.36	0.04099
36	NA	0	4	0.1019	0.08007	0.3561	0.4535	0.2543	0.4654	75.32	37.1	639.8	0.2492	41.67	0.04218
37	NA	1000	1	0.09723	0.0578	0.4521	0.4936	0.3549	0.5332	50	93.7	428.2	0.2869	25.64	0.02234
38	NA	1000	2	0.09423	0.05674	0.3833	0.4711	0.2891	0.4994	100	34.13	484.7	0.2888	29.88	0.03266
39	NA	1000	3	0.1003	0.06068	0.3816	0.4713	0.2812	0.4859	150	33.46	545.3	0.2657	36.99	0.02627
40	NA	1000	4	0.1022	0.06257	0.3689	0.4625	0.2667	0.4702	300	33.09	620.7	0.2491	43.05	0.0271
41	NA	1000	5	0.1014	0.0648	0.3571	0.4465	0.2557	0.4429	400	31.86	783.3	0.2245	55.76	0.02973
42	NA	1000	6	0.1025	0.06577	0.3517	0.4438	0.2492	0.4432	1000	33.2	796.8	0.2194	54.33	0.03335
